Wall time,Step,Value
1636981210.233815,0,0.6710876822471619
1636981210.402266,1,0.6074408888816833
1636981210.567821,2,0.5087772607803345
1636981210.734513,3,0.40000346302986145
1636981210.898103,4,0.3183887302875519
1636981211.067449,5,0.25467073917388916
1636981211.231457,6,0.20044615864753723
1636981211.400245,7,0.15844610333442688
1636981211.568203,8,0.12857261300086975
1636981211.735619,9,0.1070193350315094
1636981211.900338,10,0.09044145047664642
1636981212.064166,11,0.07708171010017395
1636981212.222481,12,0.06578334420919418
1636981212.386858,13,0.0560181587934494
1636981212.550241,14,0.047884635627269745
1636981212.721786,15,0.039462435990571976
1636981212.886103,16,0.03338133171200752
1636981213.051962,17,0.027802137657999992
1636981213.21236,18,0.02369697205722332
1636981213.374324,19,0.020425735041499138
1636981213.538764,20,0.017556823790073395
1636981213.705344,21,0.015228732489049435
1636981213.871164,22,0.013235965743660927
1636981214.037662,23,0.011561142280697823
1636981214.204892,24,0.010147925466299057
1636981214.376581,25,0.009000073187053204
1636981214.537794,26,0.007981378585100174
1636981214.706719,27,0.007152707315981388
1636981214.873474,28,0.006392566487193108
1636981215.042948,29,0.005753728561103344
1636981215.21378,30,0.005204495042562485
1636981215.383726,31,0.004708611872047186
1636981215.551826,32,0.004288465715944767
1636981215.715098,33,0.003896865760907531
1636981215.881611,34,0.0035661105066537857
1636981216.046935,35,0.003276658011600375
1636981216.210864,36,0.0030019201803952456
1636981216.373732,37,0.0027690883725881577
1636981216.534714,38,0.002559070708230138
1636981216.697027,39,0.0023650487419217825
1636981216.859429,40,0.0021965187042951584
1636981217.019951,41,0.0020396090112626553
1636981217.191005,42,0.0019051017006859183
1636981217.360061,43,0.0017766577657312155
1636981217.523277,44,0.0016553204040974379
1636981217.685256,45,0.0015517091378569603
1636981217.851044,46,0.0014567718608304858
1636981218.010386,47,0.0013658098177984357
1636981218.174716,48,0.0012842041905969381
1636981218.33838,49,0.0012094684643670917
1636981218.505255,50,0.0011425301199778914
1636981218.668853,51,0.0010773775866255164
1636981218.833942,52,0.001018490525893867
1636981219.002163,53,0.0009655873291194439
1636981219.160784,54,0.0009139412431977689
1636981219.326052,55,0.0008702484192326665
1636981219.485935,56,0.0008229960221797228
1636981219.65244,57,0.0007824013591744006
1636981219.814247,58,0.0007440746412612498
1636981219.978284,59,0.0007071684231050313
1636981220.143058,60,0.0006745735299773514
1636981220.30765,61,0.0006418587872758508
1636981220.478308,62,0.0006126542575657368
1636981220.642135,63,0.0005848105065524578
1636981220.809669,64,0.000559501932002604
1636981220.979189,65,0.0005341548821888864
1636981221.142107,66,0.0005117487744428217
1636981221.304736,67,0.0004893651930615306
1636981221.479398,68,0.0004687973705586046
1636981221.642925,69,0.00044936788617633283
1636981221.809868,70,0.0004314792749937624
1636981221.973429,71,0.00041338661685585976
1636981222.137079,72,0.0003967429220210761
1636981222.303097,73,0.0003812567738350481
1636981222.47467,74,0.00036641780752688646
